SeniorCitizen,tenure,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Total_Services,Is_Solo,Is_Auto_Pay,Short_Contract,Charge_Spike
0,1,DSL,No,Yes,No,No,No,No,No,Electronic check,30.2,30.2,1,1,0,0,1,0.030169830169825218
0,72,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),90.25,6369.45,0,6,0,1,0,1.7866453243704967
0,17,DSL,No,No,No,No,Yes,Yes,Yes,Mailed check,64.7,1093.1,1,2,0,0,1,0.403782130462929
1,71,Fiber optic,Yes,Yes,Yes,Yes,No,No,Yes,Credit card (automatic),96.35,6766.95,0,4,0,1,0,1.0421874339798052
1,2,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,Credit card (automatic),95.5,181.65,0,3,0,1,1,4.72038980509744
0,27,DSL,Yes,Yes,Yes,Yes,No,No,No,Mailed check,66.15,1874.45,0,4,0,0,0,-3.2715029072997197
0,1,No,No,No,No,No,No,No,No,Bank transfer (automatic),20.2,20.2,0,0,1,1,1,0.020179820179816232
1,1,DSL,No,No,No,No,No,No,No,Bank transfer (automatic),45.25,45.25,0,0,1,1,1,0.04520479520478915
0,72,Fiber optic,Yes,Yes,No,Yes,Yes,No,No,Bank transfer (automatic),99.9,7251.7,0,4,0,1,0,-0.8166567131011959
0,5,Fiber optic,No,No,No,No,No,No,Yes,Electronic check,69.7,316.9,1,0,1,0,1,6.332673465306954
0,46,Fiber optic,No,No,Yes,No,No,No,Yes,Credit card (automatic),74.8,3548.3,0,1,1,1,1,-2.335279667833319
0,34,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,Electronic check,106.35,3549.25,1,4,1,0,1,1.9633643128143206
0,11,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,Bank transfer (automatic),97.85,1105.4,1,3,1,1,1,-2.631774384146908
0,10,DSL,No,Yes,No,No,No,No,No,Mailed check,49.55,475.7,0,1,0,0,0,1.98475652434756
0,70,DSL,Yes,Yes,No,No,Yes,No,Yes,Credit card (automatic),69.2,4872.35,0,3,0,1,0,-0.4040056570620436
0,17,No,No,No,No,No,No,No,No,Mailed check,20.75,418.25,0,0,0,0,0,-3.8514940297629536
0,63,DSL,Yes,Yes,Yes,Yes,Yes,No,Yes,Credit card (automatic),79.85,4861.45,0,5,1,1,0,2.6853518198123822
0,13,DSL,Yes,Yes,No,Yes,Yes,No,Yes,Electronic check,76.2,981.45,0,4,0,0,1,0.7096531036074083
0,49,Fiber optic,No,No,No,No,No,Yes,Yes,Electronic check,84.5,3906.7,0,1,1,0,1,4.773055651925475
0,2,DSL,No,Yes,No,No,No,No,No,Mailed check,49.25,97.0,0,1,1,0,1,0.7742378810594701
0,2,Fiber optic,No,No,No,No,Yes,No,Yes,Electronic check,80.65,144.15,1,1,1,0,1,8.611019490254876
0,52,DSL,Yes,No,No,Yes,Yes,Yes,Yes,Credit card (automatic),79.75,4217.8,0,4,1,1,0,-1.3599786542566505
0,69,DSL,Yes,No,Yes,Yes,No,No,Yes,Credit card (automatic),64.15,4254.1,0,3,0,1,0,2.497270329415521
1,43,Fiber optic,No,Yes,No,No,Yes,No,Yes,Electronic check,90.25,3838.75,0,2,1,0,1,0.9788202599939524
0,15,Fiber optic,Yes,Yes,No,No,Yes,Yes,Yes,Credit card (automatic),99.1,1426.4,1,4,1,1,1,4.013005799613339
1,25,DSL,Yes,No,No,Yes,Yes,No,Yes,Credit card (automatic),69.5,1752.65,0,3,0,1,1,-0.6031958721651165
1,8,Fiber optic,No,Yes,No,No,No,No,Yes,Credit card (automatic),80.65,633.3,1,1,0,1,1,1.4973940757405444
1,60,DSL,Yes,Yes,Yes,Yes,No,Yes,Yes,Credit card (automatic),74.85,4456.35,0,5,0,1,0,0.5787378543690807
1,18,Fiber optic,No,No,No,No,Yes,Yes,Yes,Electronic check,95.45,1752.55,1,2,1,0,1,-1.908480084439745
0,63,Fiber optic,Yes,No,No,No,Yes,Yes,Yes,Credit card (automatic),99.65,6311.2,0,3,0,1,0,-0.5261876795606355
1,66,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Electronic check,108.45,7076.35,0,5,0,0,0,1.2342002393903186
0,34,No,No,No,No,No,No,No,No,Credit card (automatic),24.95,894.3,0,0,0,1,0,-1.3521675833063753
0,72,Fiber optic,No,No,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),107.5,7853.7,0,4,1,1,0,-1.5776516992819438
0,47,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,Electronic check,100.5,4707.1,0,3,0,0,1,0.3510669985744812
0,60,Fiber optic,No,Yes,No,No,Yes,No,Yes,Bank transfer (automatic),89.9,5450.7,0,2,1,1,1,-0.9434859419009598
0,72,DSL,Yes,Yes,Yes,No,No,No,No,Bank transfer (automatic),42.1,2962.0,0,3,0,1,0,0.9616824766322765
0,18,DSL,No,No,Yes,Yes,No,No,Yes,Credit card (automatic),54.4,957.1,0,2,0,1,0,1.230731626020777
0,9,Fiber optic,No,No,No,No,Yes,Yes,No,Electronic check,94.4,857.25,1,2,1,0,1,-0.8394178424619554
0,3,DSL,No,Yes,No,Yes,Yes,Yes,Yes,Electronic check,75.3,244.1,0,4,1,0,1,-6.039553482172607
0,47,Fiber optic,No,Yes,No,No,No,No,Yes,Electronic check,78.9,3650.35,0,1,0,0,0,1.2346311780600416
0,31,DSL,No,Yes,Yes,Yes,Yes,Yes,No,Mailed check,79.2,2497.2,0,5,1,0,0,-1.3522402503144946
0,50,No,No,No,No,No,No,No,No,Bank transfer (automatic),20.15,930.9,0,0,0,1,0,1.5323723525529473
0,10,Fiber optic,Yes,No,Yes,No,No,No,Yes,Mailed check,79.85,887.35,0,2,1,0,1,-8.876127387261292
0,1,DSL,No,No,No,Yes,No,No,No,Mailed check,49.05,49.05,0,1,1,0,1,0.04900099900099519
0,52,No,No,No,No,No,No,No,Yes,Electronic check,20.4,1090.65,0,0,0,0,0,-0.5736351224014982
1,64,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),111.6,7099.0,0,5,0,1,0,0.679858127216761
0,62,No,No,No,No,No,No,No,Yes,Bank transfer (automatic),24.25,1424.6,0,0,0,1,0,1.2729512427218914
0,3,DSL,Yes,No,No,Yes,No,Yes,Yes,Bank transfer (automatic),64.5,177.4,0,3,0,1,1,5.3863712095967955
1,56,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,No,Electronic check,110.5,6139.5,0,5,1,0,0,0.8680291423367379
0,46,DSL,No,No,No,No,No,Yes,No,Credit card (automatic),55.65,2688.85,0,1,1,1,0,-2.801990174126651
0,8,DSL,Yes,Yes,No,No,No,No,No,Mailed check,54.65,482.25,0,2,0,0,1,-5.623715785526812
1,30,DSL,Yes,Yes,No,No,Yes,Yes,Yes,Electronic check,74.75,2111.3,0,4,1,0,1,4.375679144028524
0,45,No,No,No,No,No,No,No,Yes,Credit card (automatic),25.9,1216.6,0,0,0,1,0,-1.1349547787826957
0,1,Fiber optic,No,No,No,No,Yes,No,Yes,Electronic check,79.35,79.35,1,1,0,0,1,0.07927072927071777
0,11,DSL,Yes,No,No,No,Yes,Yes,No,Electronic check,50.55,565.35,0,3,0,0,1,-0.8407826561221796
0,7,Fiber optic,No,No,Yes,No,No,No,Yes,Bank transfer (automatic),75.15,496.9,1,1,0,1,1,4.174425082131137
0,42,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),103.8,4327.5,0,5,1,1,1,0.766738887169339
0,49,No,No,No,No,No,No,No,Yes,Bank transfer (automatic),20.15,973.35,0,0,0,1,0,0.28611967102711944
0,9,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,Credit card (automatic),99.3,918.75,0,3,1,1,1,-2.771992000888801
0,35,DSL,Yes,No,No,No,Yes,No,Yes,Bank transfer (automatic),62.15,2215.45,0,2,0,1,0,-1.1467629496300091
0,48,No,No,No,No,No,No,No,No,Bank transfer (automatic),20.65,1057.0,0,0,0,1,0,-1.3703745755296772
0,46,No,No,No,No,No,No,No,Yes,Mailed check,19.95,927.1,0,0,0,0,0,-0.2039096976152699
0,29,DSL,No,No,No,No,Yes,No,No,Mailed check,33.75,1009.25,0,1,0,0,1,-1.0505241198579327
0,30,Fiber optic,No,Yes,Yes,No,No,No,No,Bank transfer (automatic),82.05,2570.2,0,2,0,1,1,-3.6204776507449736
1,1,Fiber optic,No,No,No,Yes,No,No,No,Electronic check,74.7,74.7,0,1,1,0,1,0.07462537462537
0,66,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,Mailed check,84.0,5714.25,0,5,0,0,0,-2.578233663126312
0,65,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Credit card (automatic),111.05,7107.0,0,5,1,1,1,1.7132205658374602
0,72,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,Bank transfer (automatic),100.9,7459.05,0,4,1,1,0,-2.6964778266968352
0,12,Fiber optic,Yes,No,No,No,No,No,Yes,Electronic check,78.95,927.35,1,1,1,0,1,1.6772727272727224
0,71,DSL,Yes,Yes,No,Yes,No,No,Yes,Credit card (automatic),66.85,4748.7,0,3,0,1,0,-0.03215658934381338
0,5,No,No,No,No,No,No,No,No,Mailed check,21.05,113.85,1,0,1,0,1,-1.7154469106178745
0,52,No,No,No,No,No,No,No,No,Bank transfer (automatic),21.0,1107.2,0,0,1,1,0,-0.29189823272629667
1,25,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,Electronic check,98.5,2514.5,1,4,0,0,1,-2.0759769609215653
0,1,No,No,No,No,No,No,No,No,Mailed check,20.2,20.2,0,0,1,0,1,0.020179820179816232
0,1,No,No,No,No,No,No,No,No,Electronic check,19.45,19.45,0,0,0,0,1,0.019430569430568312
0,38,Fiber optic,No,No,Yes,Yes,Yes,No,No,Bank transfer (automatic),95.0,3605.6,0,3,1,1,0,0.11828636088523581
1,66,DSL,No,Yes,Yes,No,Yes,No,No,Bank transfer (automatic),45.55,3027.25,0,3,0,1,0,-0.31672929198042254
0,68,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),110.0,7611.85,1,5,0,1,0,-1.9373244511110101
0,5,DSL,No,No,No,No,No,No,No,Mailed check,24.3,100.2,0,0,1,0,1,4.264007198560289
0,72,Fiber optic,Yes,Yes,No,No,Yes,Yes,Yes,Electronic check,104.15,7303.05,0,4,0,0,0,2.720158747795182
0,32,DSL,Yes,No,No,No,No,No,No,Mailed check,30.15,927.65,0,1,1,0,0,1.1618433798943748
0,43,Fiber optic,No,No,No,No,Yes,Yes,No,Mailed check,94.35,3921.3,0,2,1,0,0,3.1590974628496866
0,72,No,No,No,No,No,No,No,No,Credit card (automatic),19.4,1363.25,0,0,0,1,0,0.46623519117790124
0,55,Fiber optic,Yes,Yes,No,No,Yes,No,Yes,Electronic check,96.75,5238.9,1,3,0,0,1,1.4990045635533988
0,52,DSL,Yes,No,Yes,Yes,No,No,No,Credit card (automatic),57.95,3042.25,0,3,1,1,0,-0.5536826214880506
0,43,Fiber optic,No,Yes,Yes,No,Yes,No,Yes,Electronic check,91.65,3954.1,0,3,1,0,1,-0.30367549591869647
1,37,Fiber optic,No,No,No,No,No,No,Yes,Electronic check,76.5,2868.15,1,0,0,0,1,-1.0154725547958208
0,64,DSL,No,Yes,No,Yes,Yes,Yes,Yes,Electronic check,54.6,3423.5,0,4,0,0,0,1.108648302370284
0,3,Fiber optic,Yes,Yes,No,No,Yes,No,No,Electronic check,89.85,248.4,0,3,0,0,1,7.0775908030656325
0,36,DSL,Yes,No,No,No,No,No,No,Bank transfer (automatic),31.05,1126.35,0,1,1,1,0,-0.23663092691869636
0,10,Fiber optic,Yes,No,No,No,Yes,Yes,Yes,Electronic check,100.25,1064.65,1,3,0,0,1,-6.204354564543564
0,41,No,No,No,No,No,No,No,No,Mailed check,20.65,835.15,0,0,1,0,0,0.28098461013145837
0,27,Fiber optic,No,Yes,No,Yes,No,No,Yes,Credit card (automatic),85.2,2151.6,0,2,0,1,1,5.514062442131788
0,56,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,Credit card (automatic),99.8,5515.45,0,3,0,1,0,1.3115801503544589
0,6,No,No,No,No,No,No,No,No,Mailed check,20.7,112.75,0,0,1,0,1,1.9114647558740216
0,3,Fiber optic,No,No,No,No,No,No,Yes,Electronic check,74.4,229.55,1,0,1,0,1,-2.0911696101299526
0,7,DSL,Yes,No,No,No,No,No,No,Mailed check,50.7,350.35,0,1,0,0,1,0.6571489787173306
0,4,No,No,No,No,No,No,No,No,Mailed check,20.85,62.9,0,0,0,0,1,5.1289302674331445
0,33,Fiber optic,Yes,No,No,Yes,Yes,No,Yes,Electronic check,88.95,3027.65,0,3,1,0,0,-2.7941895700130317
1,27,Fiber optic,No,No,Yes,No,No,No,Yes,Electronic check,78.05,2135.5,1,1,1,0,1,-1.039663345802012
0,72,No,No,No,No,No,No,No,Yes,Bank transfer (automatic),23.55,1723.95,0,0,0,1,0,-0.3934174525353811
0,1,No,No,No,No,No,No,No,No,Mailed check,19.75,19.75,0,0,1,0,1,0.01973026973026748
1,71,DSL,Yes,Yes,No,No,Yes,Yes,Yes,Electronic check,56.45,3985.35,0,4,1,0,0,0.31910043520514364
0,13,Fiber optic,No,No,No,No,No,Yes,Yes,Electronic check,85.95,1215.65,0,1,1,0,1,-7.554345819552353
0,25,DSL,Yes,Yes,Yes,No,Yes,Yes,Yes,Credit card (automatic),58.6,1502.65,1,5,0,1,1,-1.5035958561657523
0,67,DSL,No,No,No,Yes,No,No,No,Bank transfer (automatic),50.55,3260.1,0,1,1,1,0,1.8925172758615574
0,1,DSL,No,No,No,No,No,Yes,Yes,Electronic check,35.45,35.45,1,1,1,0,1,0.035414585414578426
0,2,DSL,No,No,No,No,No,No,No,Electronic check,44.35,81.25,1,0,1,0,1,3.7453023488255894
0,43,No,No,No,No,No,No,No,Yes,Credit card (automatic),25.7,1188.2,0,0,1,1,0,-1.9319155368479848
0,23,Fiber optic,Yes,No,No,No,No,No,Yes,Bank transfer (automatic),75.0,1778.5,0,1,1,1,1,-2.322725098908734
0,64,No,No,No,No,No,No,No,No,Mailed check,20.2,1277.75,0,0,0,0,0,0.23546819580944245
0,57,No,No,No,No,No,No,No,Yes,Mailed check,19.6,1170.55,0,0,0,0,0,-0.9356046385151124
1,1,Fiber optic,No,No,No,No,No,No,Yes,Mailed check,70.45,70.45,1,0,0,0,1,0.07037962037961165
1,72,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),88.05,6425.65,0,6,0,1,0,-1.1938993902862336
0,8,DSL,Yes,No,No,Yes,No,Yes,No,Electronic check,71.15,563.65,1,3,1,0,1,0.7025559305086944
0,61,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,Bank transfer (automatic),101.05,5971.25,0,3,0,1,0,3.1622604547466437
0,64,Fiber optic,Yes,Yes,No,No,No,No,Yes,Credit card (automatic),84.3,5289.05,0,2,1,1,0,1.6598850017968516
1,71,No,No,No,No,No,No,No,No,Bank transfer (automatic),23.95,1756.2,0,0,0,1,0,-0.7848628892550806
0,65,Fiber optic,Yes,Yes,No,Yes,Yes,No,Yes,Credit card (automatic),99.05,6416.7,0,4,0,1,0,0.3330571837356473
0,3,No,No,No,No,No,No,No,No,Mailed check,19.6,61.35,0,0,1,0,0,-0.8431856047983999
0,1,DSL,No,No,No,No,No,No,Yes,Electronic check,45.65,45.65,1,0,1,0,1,0.04560439560439278
0,30,DSL,No,Yes,Yes,No,Yes,No,No,Credit card (automatic),64.5,1929.95,0,3,0,1,0,0.1704776507449708
0,15,DSL,No,Yes,Yes,Yes,No,Yes,Yes,Mailed check,69.5,1071.4,0,4,0,0,1,-1.9219052063195932
0,8,DSL,No,No,No,Yes,Yes,Yes,Yes,Electronic check,68.55,564.35,0,3,0,0,1,-1.9849331333583393
0,7,Fiber optic,No,No,No,No,Yes,Yes,No,Mailed check,95.0,655.5,1,2,1,0,1,1.3705184973575228
0,70,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Credit card (automatic),108.15,7930.55,0,5,0,1,0,-5.141952972100384
0,62,DSL,Yes,Yes,Yes,Yes,Yes,Yes,No,Electronic check,86.1,5215.25,0,6,0,0,0,1.9844212190125887
0,6,No,No,No,No,No,No,No,No,Mailed check,19.7,113.5,0,0,0,0,1,0.7864855857357114
0,14,Fiber optic,No,No,No,No,No,Yes,Yes,Bank transfer (automatic),80.9,1152.8,0,1,0,1,1,-1.4369759302906857
0,22,Fiber optic,No,No,No,No,Yes,No,Yes,Bank transfer (automatic),84.15,1821.95,0,1,1,1,1,1.3378550974955772
0,22,No,No,No,No,No,No,No,No,Mailed check,20.15,419.9,0,0,0,0,0,1.0645038861869907
0,16,DSL,Yes,No,Yes,No,Yes,No,No,Mailed check,64.25,1024.0,0,3,0,0,0,0.25399975001563035
0,10,No,No,No,No,No,No,No,No,Bank transfer (automatic),25.7,251.6,0,0,1,1,0,0.5425157484251564
0,13,DSL,Yes,Yes,No,No,No,No,Yes,Electronic check,56.0,764.55,0,2,0,0,1,-2.8070148450119206
0,20,Fiber optic,Yes,No,No,No,No,No,No,Electronic check,82.4,1592.35,1,1,0,0,1,2.7864806759662173
0,2,Fiber optic,No,No,No,No,No,No,Yes,Electronic check,69.7,135.2,0,0,1,0,1,2.1337831084457832
0,53,DSL,No,Yes,Yes,Yes,No,Yes,Yes,Bank transfer (automatic),73.9,3958.25,0,4,1,1,0,-0.7825531593743449
0,11,No,No,No,No,No,No,No,No,Mailed check,20.6,233.9,0,0,0,0,0,-0.6617034815016822
0,69,No,No,No,No,No,No,No,No,Mailed check,19.9,1363.45,0,0,0,0,0,0.14014144722540323
0,4,Fiber optic,No,No,No,No,No,No,Yes,Bank transfer (automatic),70.9,273.0,1,0,1,1,1,2.6670582354411465
0,72,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),89.05,6254.45,0,6,0,1,0,2.183845363258854
1,58,DSL,No,Yes,Yes,No,No,Yes,Yes,Electronic check,45.3,2651.2,1,3,0,0,1,-0.4095567317804907
0,16,No,No,No,No,No,No,No,No,Electronic check,20.4,321.4,0,0,0,0,1,0.31375539028810806
0,43,Fiber optic,Yes,No,Yes,Yes,No,No,Yes,Bank transfer (automatic),84.25,3539.25,0,3,0,1,0,1.9437745633822487
0,2,Fiber optic,No,No,Yes,Yes,Yes,Yes,Yes,Electronic check,104.4,242.8,1,4,0,0,1,-16.93933033483259
0,14,DSL,No,Yes,Yes,Yes,Yes,Yes,No,Mailed check,81.95,1181.75,0,5,0,0,0,-2.4546853796157393
0,53,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,Bank transfer (automatic),94.85,5000.2,1,3,0,1,0,0.5083838040791591
0,32,No,No,No,No,No,No,No,No,Bank transfer (automatic),20.55,654.55,0,0,1,1,0,0.09595168900971984
0,34,No,No,No,No,No,No,No,No,Electronic check,24.7,780.2,0,0,0,0,1,1.75361607011558
1,15,Fiber optic,No,No,No,No,No,No,Yes,Mailed check,74.45,1145.7,1,0,1,0,1,-1.9249083394440447
1,7,Fiber optic,Yes,No,No,No,No,No,No,Bank transfer (automatic),76.45,503.6,1,1,1,1,1,4.5174189401514155
0,15,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,Bank transfer (automatic),105.35,1559.25,0,4,0,1,1,1.406929538030795
0,61,No,No,No,No,No,No,No,Yes,Credit card (automatic),20.55,1252.0,0,0,0,1,0,0.02574629924099625
0,1,DSL,No,Yes,No,No,No,No,No,Bank transfer (automatic),29.95,29.95,1,1,1,1,1,0.02992007992007828
0,1,DSL,No,No,No,No,No,No,No,Mailed check,45.3,45.3,0,0,1,0,1,0.04525474525473783
0,8,Fiber optic,No,No,No,No,No,Yes,No,Bank transfer (automatic),84.5,662.65,1,1,1,1,1,1.6791026121734802
0,33,DSL,Yes,No,Yes,No,Yes,Yes,No,Credit card (automatic),74.75,2453.3,0,4,0,1,0,0.40982849004574007
0,13,Fiber optic,No,Yes,Yes,No,No,No,Yes,Electronic check,79.25,1111.65,1,2,1,0,1,-6.254961156834099
0,1,DSL,No,No,No,No,No,No,Yes,Electronic check,24.8,24.8,1,0,0,0,1,0.024775224775222426
0,20,DSL,No,Yes,No,No,No,No,Yes,Mailed check,51.8,1023.85,0,1,1,0,1,0.6100594970251478
0,3,DSL,No,No,No,Yes,No,No,No,Electronic check,30.4,82.15,0,1,1,0,1,3.025791402865707
0,13,No,No,No,No,No,No,No,No,Electronic check,19.65,244.8,0,0,1,0,0,0.820679178524724
0,40,DSL,No,Yes,No,No,No,No,No,Credit card (automatic),56.6,2379.1,0,1,0,1,1,-2.8760130996725053
0,43,DSL,Yes,No,No,Yes,No,Yes,Yes,Credit card (automatic),71.9,3173.35,0,3,0,1,0,-1.8971209971861072
0,6,Fiber optic,No,Yes,Yes,No,No,Yes,Yes,Electronic check,91.0,531.0,1,3,0,0,1,2.5147475420763215
0,69,No,No,No,No,No,No,No,No,Bank transfer (automatic),19.75,1375.4,0,0,0,1,0,-0.18304444863117908
0,72,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,No,Credit card (automatic),109.7,8129.3,0,5,0,1,0,-3.205376314217844
0,59,No,No,No,No,No,No,No,No,Credit card (automatic),19.3,1192.7,0,0,0,1,0,-0.9149116116675984
0,20,Fiber optic,Yes,Yes,No,Yes,Yes,No,Yes,Electronic check,96.55,1901.65,0,4,0,0,1,1.4722538873056266
0,24,No,No,No,No,No,No,No,Yes,Bank transfer (automatic),24.1,587.4,0,0,0,1,0,-0.37398025082287845
0,59,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Electronic check,111.35,6519.75,0,5,1,0,1,0.8476356332943453
0,72,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),112.25,8041.65,0,5,0,1,0,0.5619678893348805
0,1,No,No,No,No,No,No,No,No,Mailed check,20.75,20.75,0,0,0,0,1,0.020729270729269444
0,27,Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,Credit card (automatic),101.9,2681.15,0,4,0,1,0,2.6018258583015523
0,14,Fiber optic,No,Yes,No,Yes,No,No,Yes,Credit card (automatic),80.05,1112.3,0,2,1,1,1,0.605674594671811
0,71,Fiber optic,Yes,No,Yes,No,Yes,Yes,No,Electronic check,105.55,7405.5,0,4,0,0,0,1.2486521316601227
0,13,Fiber optic,No,No,No,No,Yes,No,Yes,Credit card (automatic),78.3,1033.95,0,1,0,1,1,-1.228497807860947
0,44,Fiber optic,No,No,No,No,No,No,No,Credit card (automatic),68.85,2958.95,0,0,1,1,1,1.6026647121656339
0,33,Fiber optic,No,Yes,No,Yes,No,No,Yes,Bank transfer (automatic),79.95,2684.85,0,2,1,1,0,-1.4066255568013162
0,72,DSL,Yes,Yes,Yes,Yes,No,Yes,Yes,Credit card (automatic),55.45,4179.2,0,5,0,1,0,-2.5936382828016207
0,1,Fiber optic,No,No,No,No,No,Yes,No,Electronic check,79.9,79.9,1,1,1,0,1,0.07982017982017453
0,19,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Yes,Electronic check,106.6,1934.45,1,5,1,0,1,4.792200410504705
0,64,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),102.45,6654.1,0,5,0,1,0,-1.518687989250168
0,2,DSL,No,No,No,No,No,No,Yes,Credit card (automatic),46.0,84.5,1,0,1,1,1,3.771114442778611
0,1,DSL,No,No,No,No,No,No,No,Electronic check,25.25,25.25,0,0,1,0,1,0.02522477522477118
0,61,No,No,No,No,No,No,No,No,Mailed check,19.75,1124.2,0,0,0,0,0,1.3207939214111235
0,29,No,No,No,No,No,No,No,No,Electronic check,20.0,540.05,0,0,0,0,0,1.3782283369538995
1,23,Fiber optic,No,No,No,No,No,Yes,No,Electronic check,86.8,1975.85,0,1,0,0,1,0.8972131646450237
